Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix,url,title_raw
BMW,Série 4 Grand Coupé,2016,188000,Diesel,Automatique,10.0,,1 ere Main,188000,https://www.sparkauto.tn/listing-detail/346/BMWS%C3%A9rie4,BMW Série 4 Grand Coupé
Peugeot,208,2016,178000,Essence,Manuelle,5.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/345/Peugeot208,Peugeot 208
Mercedes,CLA 180,2021,3200,Essence,Automatique,7.0,,1 ere Main,145,https://www.sparkauto.tn/listing-detail/344/MercedesCLA180,Mercedes CLA 180
MG,ZS,2022,58000,Essence,Manuelle,7.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/343/MGZS,MG ZS
Kia,Seltos,2021,83000,Essence,Automatique,8.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/342/KiaSeltos,Kia Seltos
BMW,Série 4 Gran Coupé Pack M,2020,132000,Essence,Automatique,7.0,,1ere main,107,https://www.sparkauto.tn/listing-detail/340/BMWS%C3%A9rie4GranCoup%C3%A9PackM,BMW Série 4 Gran Coupé Pack M
Kia,Picanto,2020,73000,Essence,Manuelle,4.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/339/KiaPicanto,Kia Picanto
Mercedes,Classe C 180,2018,148000,Essence,Automatique,8.0,,Trés Bon Etat,500,https://www.sparkauto.tn/listing-detail/338/MercedesClasseC180,Mercedes Classe C 180
Peugeot,208,2020,96000,Essence,Manuelle,4.0,,1 ere Main,96000,https://www.sparkauto.tn/listing-detail/337/Peugeot208,Peugeot 208
Suzuki,Ciaz,2023,52500,Essence,Manuelle,6.0,,1 ere Main,52500,https://www.sparkauto.tn/listing-detail/336/SuzukiCiaz,Suzuki Ciaz
Toyota,Rav 4 hybride,2023,58900,Hybride,Automatique,,,1ere main,139,https://www.sparkauto.tn/listing-detail/335/ToyotaRav4hybride,Toyota Rav 4 hybride
Land Rover,Discovery Sport,2017,184000,Diesel,Automatique,8.0,,1ere main,184000,https://www.sparkauto.tn/listing-detail/334/LandRoverDiscoverySport,Land Rover Discovery Sport
Land Rover,RANGE ROVER SPORT,2014,160000,Diesel,Manuelle,16.0,,1ere main,157,https://www.sparkauto.tn/listing-detail/333/LANDROVERRANGEROVERSPORT,LAND ROVER RANGE ROVER SPORT
Honda,HR-V,2025,7300,Essence,Automatique,7.0,,1 ere Main,7300,https://www.sparkauto.tn/listing-detail/332/HondaHR-V,Honda HR-V
Kia,Sportage,2016,126000,Essence,Automatique,8.0,,1 ere Main,126000,https://www.sparkauto.tn/listing-detail/331/KiaSportage,Kia Sportage
Cupra,Formentor,2024,26000,Essence,Automatique,11.0,,1ere main,135,https://www.sparkauto.tn/listing-detail/330/CupraFormentor,Cupra Formentor
Jaguar,F-Pace,2018,159000,Diesel,Manuelle,9.0,,1ere main,125,https://www.sparkauto.tn/listing-detail/329/JaguarF-Pace,Jaguar F-Pace
Nissan,Qashqai,2013,103000,Essence,Manuelle,7.0,,1ere main,103000,https://www.sparkauto.tn/listing-detail/328/NissanQashqai,Nissan Qashqai
Ford,EcoSport,2020,49500,Essence,Manuelle,7.0,,1ere main,49500,https://www.sparkauto.tn/listing-detail/327/FordEcoSport,Ford EcoSport
Mazda,3,2016,112000,Essence,Manuelle,6.0,,2ème main,112000,https://www.sparkauto.tn/listing-detail/326/Mazda33,Mazda 3
Volkswagen,Tiguan,2010,184000,Essence,Manuelle,12.0,,1 ere Main,184000,https://www.sparkauto.tn/listing-detail/324/VolkswagenTiguan,Volkswagen Tiguan
Volkswagen,Tiguan,2010,158000,Essence,Manuelle,11.0,,1 ere Main,158000,https://www.sparkauto.tn/listing-detail/323/VolkswagenTiguan,Volkswagen Tiguan
Land Rover,RANGE ROVER VELAR,2017,92000,Diesel,Automatique,15.0,,1ere main,182,https://www.sparkauto.tn/listing-detail/322/LANDROVERRANGEROVERVELAR,LAND ROVER RANGE ROVER VELAR
Volvo,xc60,2022,19000,Hybride,Automatique,20.0,,1ere main,286,https://www.sparkauto.tn/listing-detail/321/Volvoxc60,Volvo xc60
Mercedes,CLA 180,2013,143000,Essence,Manuelle,7.0,,1 ere Main,143000,https://www.sparkauto.tn/listing-detail/320/MercedesCLA180,Mercedes CLA 180
Audi,A5,2020,164000,Essence,Automatique,8.0,,1 ere Main,164000,https://www.sparkauto.tn/listing-detail/319/AudiA5,Audi A5
MG,ZS,2020,92000,Essence,Automatique,7.0,,1 ere Main,92000,https://www.sparkauto.tn/listing-detail/318/MGZS,MG ZS
Seat,Leon,2017,158000,Essence,Manuelle,6.0,,1 ere Main,900,https://www.sparkauto.tn/listing-detail/317/SeatLeon,Seat Leon
Jeep,Compass,2021,45000,Essence,Manuelle,8.0,,1 ere Main,45000,https://www.sparkauto.tn/listing-detail/316/JeepCompass,Jeep Compass
Peugeot,2008,2020,43000,Essence,Manuelle,5.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/315/Peugeot2008,Peugeot 2008
Geely,GX3,2021,73000,Essence,Manuelle,6.0,,1ere main,73000,https://www.sparkauto.tn/listing-detail/314/GeelyGX3,Geely GX3
Volkswagen,Golf 8,2022,66000,Micro-hybride,Automatique,,,1ere main,66000,https://www.sparkauto.tn/listing-detail/313/VolkswagenGolf8,Volkswagen Golf 8
Audi,A7,2019,63500,Essence,Automatique,23.0,,1ere main,275,https://www.sparkauto.tn/listing-detail/312/AudiA7,Audi A7
Mercedes,Classe A 35 Amg,2022,55000,Essence,Automatique,19.0,,1ere main,185,https://www.sparkauto.tn/listing-detail/311/MercedesClasseA35Amg,Mercedes Classe A 35 Amg
Honda,City,2020,108000,Essence,Automatique,7.0,,1 ere Main,108000,https://www.sparkauto.tn/listing-detail/310/HondaCity,Honda City
Ford,Kuga,2019,172000,Essence,Manuelle,8.0,,1 ere Main,172000,https://www.sparkauto.tn/listing-detail/309/FordKuga,Ford Kuga
Kia,Picanto,2018,79000,Essence,Manuelle,5.0,,1 ere Main,800,https://www.sparkauto.tn/listing-detail/308/KiaPicanto,Kia Picanto
Toyota,Land Cruiser Prado,2014,230000,Diesel,Manuelle,11.0,,1ere main,145,https://www.sparkauto.tn/listing-detail/307/ToyotaLandCruiserPrado,Toyota Land Cruiser Prado
Toyota,C-HR,2019,117500,Essence,Automatique,6.0,,1 ere Main,117500,https://www.sparkauto.tn/listing-detail/306/ToyotaC-HR,Toyota C-HR
BMW,Série 5,2021,18000,Essence,Automatique,10.0,,1 ere Main,195,https://www.sparkauto.tn/listing-detail/305/BMWS%C3%A9rie5,BMW Série 5
Peugeot,2008,2017,110000,Essence,Manuelle,5.0,,1 ere Main,110000,https://www.sparkauto.tn/listing-detail/304/Peugeot2008,Peugeot 2008
Mercedes,classe E200,2015,52500,Essence,Automatique,10.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/303/MercedesclasseE200,Mercedes classe E200
Nissan,Navara,2012,237000,Diesel,Manuelle,10.0,,2ème main,500,https://www.sparkauto.tn/listing-detail/302/NissanNavara,Nissan Navara
Haval,H6,2022,48000,Essence,Automatique,8.0,,1 ere Main,48000,https://www.sparkauto.tn/listing-detail/301/HavalH6,Haval H6
Volkswagen,Tiguan R Line,2020,138000,Essence,Automatique,8.0,,2ème main,138000,https://www.sparkauto.tn/listing-detail/300/VolkswagenTiguanRLine,Volkswagen Tiguan R Line
Hyundai,i20,2018,82000,Essence,Manuelle,5.0,,2 eme main,700,https://www.sparkauto.tn/listing-detail/299/Hyundaii20,Hyundai i20
BMW,Série 1,2010,182000,Essence,Manuelle,7.0,,2ème main,182000,https://www.sparkauto.tn/listing-detail/298/BmwSerie1,BMW Série 1
Peugeot,208,2015,172000,Essence,Manuelle,5.0,,1 ere Main,172000,https://www.sparkauto.tn/listing-detail/297/Peugeot208,Peugeot 208
Land Rover,Range Rover,2019,116000,Essence,Automatique,25.0,,1 ere Main,380,https://www.sparkauto.tn/listing-detail/296/LandRoverRangeRover,Land Rover Range Rover
Seat,Arona,2023,27000,Essence,Automatique,6.0,,1 ere Main,800,https://www.sparkauto.tn/listing-detail/295/SeatArona,Seat Arona
Geely,GX3,2021,78000,Essence,Manuelle,6.0,,1 ere Main,78000,https://www.sparkauto.tn/listing-detail/294/GeelyGX3,Geely GX3
Cadillac,ATS,2014,58000,Essence,Automatique,18.0,,1ere main,58000,https://www.sparkauto.tn/listing-detail/293/CadillacATS,Cadillac ATS
Audi,Q5 S-line quattro,2016,112000,Diesel,Automatique,8.0,,1ere main,112000,https://www.sparkauto.tn/listing-detail/292/AudiQ5S-linequattro,Audi Q5 S-line quattro
Land Rover,RANGE ROVER VELAR,2018,144000,Diesel,Automatique,19.0,,1ere main,192,https://www.sparkauto.tn/listing-detail/291/LANDROVERRANGEROVERVELAR,LAND ROVER RANGE ROVER VELAR
Hyundai,Grand i10,2020,112000,Essence,Manuelle,5.0,,1 ere Main,112000,https://www.sparkauto.tn/listing-detail/290/HyundaiGrandi10,Hyundai Grand i10
Porsche,Macan Electrique,2024,9000,Electriques,Automatique,9.0,,1ere main,289,https://www.sparkauto.tn/listing-detail/289/PorscheMacanElectric11,Porsche Macan Electrique
Skoda,Scala,2024,48000,Essence,Automatique,6.0,,1ere main,48000,https://www.sparkauto.tn/listing-detail/287/SkodaScala,Skoda Scala
Land Rover,Discovery Sport,2021,52000,Diesel,Automatique,9.0,,1 ere Main,265,https://www.sparkauto.tn/listing-detail/286/LandRoverDiscoverySport,Land Rover Discovery Sport
Toyota,Rav 4,2024,30000,Hybride,Automatique,9.0,,1ere main,147,https://www.sparkauto.tn/listing-detail/285/ToyotaRav4hybride,Toyota Rav 4
Ford,Focus,2017,101000,Essence,Automatique,7.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/284/FordFocus11,Ford Focus
Peugeot,3008,2021,81000,Essence,Automatique,9.0,,1 ere Main,81000,https://www.sparkauto.tn/listing-detail/283/Peugeot3008,Peugeot 3008
Audi,A1 Sportback,2024,35000,Essence,Automatique,6.0,,1 ere Main,35000,https://www.sparkauto.tn/listing-detail/282/AudiA1Sportback,Audi A1 Sportback
Chery,Tiggo 2,2020,88000,Essence,Manuelle,6.0,,2 eme main,88000,https://www.sparkauto.tn/listing-detail/281/CheryTiggo2,Chery Tiggo 2
Jeep,renegade,2021,85000,Essence,Manuelle,,,1ere main,85000,https://www.sparkauto.tn/listing-detail/280/Jeeprenegade,Jeep renegade
Porsche,Macan,2020,100000,Essence,Automatique,16.0,,1ere main,215,https://www.sparkauto.tn/listing-detail/279/PorscheMacan,Porsche Macan
Mercedes,Classe A 200,2018,122000,Essence,Manuelle,9.0,,1ere main,122000,https://www.sparkauto.tn/listing-detail/278/MercedesClasseA200,Mercedes Classe A 200
BMW,Série 3 318i,2016,157000,Essence,Automatique,7.0,,2ème main,3318,https://www.sparkauto.tn/listing-detail/277/BMWS%C3%A9rie313,BMW Série 3 318i
Audi,A5 S-line,2020,158000,Essence,Automatique,8.0,,1ere main,123,https://www.sparkauto.tn/listing-detail/276/AudiA5S-line11,Audi A5 S-line
Mercedes,Classe E 180,2017,88000,Essence,Automatique,9.0,,1 ere Main,118,https://www.sparkauto.tn/listing-detail/275/MercedesClasseE180,Mercedes Classe E 180
Renault,Megane,2011,139000,Essence,Manuelle,7.0,,1 ere Main,139000,https://www.sparkauto.tn/listing-detail/274/RenaultMegane,Renault Megane
Opel,Mokka X,2018,139000,Essence,Manuelle,8.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/273/OpelMokkax,Opel Mokka X
Kia,sportage,2021,113000,Essence,Automatique,8.0,,1ere main,113000,https://www.sparkauto.tn/listing-detail/272/Kiasportage1,Kia sportage
Mazda,2,2015,147500,Essence,Automatique,6.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/270/Mazda22,Mazda 2
Kia,Rio,2011,136500,Essence,Manuelle,6.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/268/KiaRio,Kia Rio
Geely,GX3,2021,97000,Essence,Manuelle,6.0,,1 ere Main,97000,https://www.sparkauto.tn/listing-detail/267/GeelyGX3,Geely GX3
Peugeot,301,2022,19500,Essence,Manuelle,5.0,,1 ere Main,19500,https://www.sparkauto.tn/listing-detail/266/Peugeot301,Peugeot 301
Mazda,6,2015,157000,Essence,Automatique,9.0,,1 ere Main,157000,https://www.sparkauto.tn/listing-detail/265/Mazda6,Mazda 6
Peugeot,2008,2020,55000,Essence,Manuelle,6.0,,1 ere Main,55000,https://www.sparkauto.tn/listing-detail/264/Peugeot2008,Peugeot 2008
Peugeot,301,2013,187000,Essence,Manuelle,5.0,,1 ere Main,187000,https://www.sparkauto.tn/listing-detail/263/Peugeot301,Peugeot 301
Hyundai,Creta,2020,137000,Essence,Automatique,7.0,,1 ere Main,137000,https://www.sparkauto.tn/listing-detail/262/HyundaiCreta,Hyundai Creta
Ssangyoung,Tivoli,2018,59000,Essence,Manuelle,7.0,,1 ere Main,59000,https://www.sparkauto.tn/listing-detail/260/SsangyoungTivoli,Ssangyoung Tivoli
Lada,Niva 4x4,2018,55000,Essence,Manuelle,7.0,,1 ere Main,55000,https://www.sparkauto.tn/listing-detail/258/LadaNiva4x4,Lada Niva 4x4
Skoda,Scala,2020,86000,Essence,Automatique,6.0,,1ere main,86000,https://www.sparkauto.tn/listing-detail/257/SkodaScala,Skoda Scala
Fiat,Tipo,2018,39000,Essence,Manuelle,5.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/256/Fiattipo,Fiat Tipo
